"","Mnemonic","LOANID","Intercept","MR","RDIGR","CPIL1EGR","AGE","AGE2","ORIGSC","ELTV","INSURANCE","NUM30","UNEMP","JUMBO","NUM60","HPI"
"73",2008-03-31,8738693,1,5.881833333,2.91783489795328,2.67573406616279,214.999999999998,46224.9999999992,636,0.0250424409512258,0,0,5.2,0,0,185.803
"74",2008-06-30,8738693,1,6.091166667,8.70598935403155,1.74932564781785,214.999999999998,46224.9999999992,636,0.026452306174307,0,0,5.933333,0,0,175.9
"75",2008-09-30,8738693,1,6.313666667,-8.88194796974016,2.59954657808155,214.999999999998,46224.9999999992,636,0.0278770634237649,0,0,6.9,0,0,166.91
"76",2008-12-31,8738693,1,5.873333305,2.59331647954912,0.982847614702553,214.999999999998,46224.9999999992,636,0.0300716779405322,0,0,8.066667,0,0,154.729
"77",2009-03-31,8738693,1,5.063499994,-0.753756223922342,1.68951046925834,214.999999999998,46224.9999999992,636,0.0322193723370883,0,0,9.566667,0,0,144.415
"78",2009-06-30,8738693,1,5.029166667,2.8776904289014,2.054854648937,214.999999999998,46224.9999999992,636,0.0331982038432658,0,0,10.5,0,0,140.157
"79",2009-09-30,8738693,1,5.157333333,-4.31783260952446,1.19731956130724,214.999999999998,46224.9999999992,636,0.0336021770181741,0,0,10.9,0,0,138.472
"80",2009-12-31,8738693,1,4.919000017,-0.52768008127918,2.0616633008343,214.999999999998,46224.9999999992,636,0.0338473449000182,0,0,11.16667,0,0,137.469
"81",2010-03-31,8738693,1,4.995833333,0.404762622600807,0.0598278120575557,214.999999999998,46224.9999999992,636,0.0345054814423799,0,0,11.1,0,0,134.847
"82",2010-06-30,8738693,1,4.907666667,5.30456115374884,0.50294914998017,214.999999999998,46224.9999999992,636,0.0348408498458289,0,0,10.83333,0,0,133.549
"83",2010-09-30,8738693,1,4.445833333,2.00527007810951,0.971880041980899,214.999999999998,46224.9999999992,636,0.0359880012379776,0,0,10.83333,0,0,129.292
"84",2010-12-31,8738693,1,4.413000008,2.81878060892964,1.05078662474083,214.999999999998,46224.9999999992,636,0.0359080155584242,0,0,10.8,0,0,129.58
"85",2011-03-31,8738693,1,4.847833333,4.98569274578973,1.90321158146407,214.999999999998,46224.9999999992,636,0.0362459154337442,0,0,10.36667,0,0,128.372
"86",2011-06-30,8738693,1,4.6625,-0.62415435995743,1.88268638196396,214.999999999998,46224.9999999992,636,0.0363416018874721,0,0,10.03333,0,0,128.034
"87",2011-09-30,8738693,1,4.307,2.13677925095102,2.76324225889046,214.999999999998,46224.9999999992,636,0.0367904410150911,0,0,9.666667,0,0,126.472
"88",2011-12-31,8738693,1,4.006000002,0.244660700694044,2.15062720942909,214.999999999998,46224.9999999992,636,0.037459530452212,0,0,9.133333,0,0,124.213
"89",2012-03-31,8738693,1,3.919666667,6.7015487202136,2.1194289737765,214.999999999998,46224.9999999992,636,0.0364706394844107,0,0,8.7,0,0,127.581
"90",2012-06-30,8738693,1,3.794333333,3.11398642016039,1.98008403433561,214.999999999998,46224.9999999992,636,0.0355057738848407,0,0,8.533334,0,0,131.048
"91",2012-09-30,8738693,1,3.549833333,-0.202481641204344,1.82109742712375,214.999999999998,46224.9999999992,636,0.0349959810770445,0,0,8.3,0,0,132.957
"92",2012-12-31,8738693,1,3.35983333,10.9227860104286,1.87565099086511,214.999999999998,46224.9999999992,636,0.0341303805944488,0,0,7.9,0,0,136.329
